"thema","query","query_mod"
"- offen - ","Wahlprogramme der Parteien, und was haben bestimmte Politiker in der Vergangenheit gesprochen und wie ist jetzt ihre Meinung dazu","wahlprogramme der parteien, und was haben bestimmte politiker in der vergangenheit gesprochen und wie ist jetzt ihre meinung dazu"
"- offen - ","Parteiname Wahlprogramm 2021","parteiname wahlprogramm 2021"
"- offen - ","Politische Maßnahmen Ahrtal","politische maßnahmen ahrtal"
"- offen - ","Parteien, Kanzlerkandidaten","parteien, kanzlerkandidaten"
"- offen - ","SPD","spd"
"- offen - ","Ziele der Partei XY","ziele der partei xy"
"- offen - ","Bürgerbeteiligung, Tempolimit,","bürgerbeteiligung, tempolimit,"
"- offen - ","Markus Söder","markus söder"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wo steht die CDU dahinter?","wo steht die cdu dahinter?"
"- offen - ","Wahlversprechen der Parteien","wahlversprechen der parteien"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","wahlen 2021","wahlen 2021"
"- offen - ","walomat","walomat"
"- offen - ","bundestagswahl parteiprogramm","parteiprogramm"
"- offen - ","Ich suche die Wahlprograme für je Partei","ich suche die wahlprograme für je partei"
"- offen - ","Programme der Parteien","programme der parteien"
"- offen - ","Wahl-o-Mat","wahl-o-mat"
"- offen - ","Wahl o Mat","wahl o mat"
"- offen - ","Wahlprogramm ""Partei"", thema, das mich interessiert ""Partei""","wahlprogramm ""partei"", thema, das mich interessiert ""partei"""
"- offen - ","wahlomat","wahlomat"
"- offen - ","Rente","rente"
"- offen - ","grüne","grüne"
"- offen - ","Angleichung Rente","angleichung rente"
"- offen - ","Informationen über eine Partei","informationen über eine partei"
"- offen - ","Wahlprogramm SPD","wahlprogramm spd"
"- offen - ","Aufsichtsratsmandat, Nebenbeschäftigung, Lobbyist","aufsichtsratsmandat, nebenbeschäftigung, lobbyist"
"- offen - ","Parteiwebsite, Wal-O-Mat","parteiwebsite, wal-o-mat"
"- offen - ","wahlomat","wahlomat"
"- offen - ","emissionshandel, klimaziel erreichbar?","emissionshandel, klimaziel erreichbar?"
"- offen - ","Tierschutz Partei","tierschutz partei"
"- offen - ","Walomat","walomat"
"- offen - ","Sicherheit","sicherheit"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Bibel Verse, Dravidian, Völker","bibel verse, dravidian, völker"
"- offen - ","umweltpolitik parteien programme ziele solarenergie windenergie elektroautos","umweltpolitik parteien programme ziele solarenergie windenergie elektroautos"
"- offen - ","SPD Bildung","spd bildung"
"- offen - ","wahlprogramm partei xyz","wahlprogramm partei xyz"
"- offen - ","Wie viel Rente bekomme ich 2022.","wie viel rente bekomme ich 2022."
"- offen - ","Partei Programme","partei programme"
"- offen - ","Wahlprogramme der Parteien","wahlprogramme der parteien"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Wahlprogramm CDU","wahlprogramm cdu"
"- offen - ","Wahlprogramm Parteien","wahlprogramm parteien"
"- offen - ","Wahlziele","wahlziele"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","genau die partei","genau die partei"
"- offen - ","Bundestagswahl 2021 Wahlprogramme","wahlprogramme"
"- offen - ","Welche Partei tritt für die sofortige Abschaffung der menschenverachtenden Maskenpflicht und der weiteren Einschränkungen ein","welche partei tritt für die sofortige abschaffung der menschenverachtenden maskenpflicht und der weiteren einschränkungen ein"
"- offen - ","spd","spd"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Öffnungszeiten","öffnungszeiten"
"- offen - ","welche der beiden Stimmen ist wichtiger","welche der beiden stimmen ist wichtiger"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Kandidaten","kandidaten"
"- offen - ","Unterschiede","unterschiede"
"- offen - ","Bundestagswahl, Bundeskanzler, Politikbarometer, politik im TV,","bundeskanzler, politikbarometer, politik im tv,"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Wahl o Mat","wahl o mat"
"- offen - ","wahl-O-mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wahlprogramm","wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlkampf, Parteiziele","wahlkampf, parteiziele"
"- offen - ","Bundestags- Wahl, Parteien, Kandidaten","bundestags- wahl, parteien, kandidaten"
"- offen - ","Wahlprogramm <Parteiname>","wahlprogramm <parteiname>"
"- offen - ","Wie kümmert sich die .. Partei um Umwelt, Finanzen, Gesundheitswesen ...","wie kümmert sich die .. partei um umwelt, finanzen, gesundheitswesen ..."
"- offen - ","Wahlprogramm aller Parteien","wahlprogramm aller parteien"
"- offen - ","walo mat","walo mat"
"- offen - ","Rente","rente"
"- offen - ","Politik, wahlomat","politik, wahlomat"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Abrüstung, Linke,","abrüstung, linke,"
"- offen - ","Steuersenkung","steuersenkung"
"- offen - ","Annalena Baerbock , Wahlomat , Kohleausstieg","annalena baerbock , wahlomat , kohleausstieg"
"- offen - ","Lebenslauf, Vorstrafen","lebenslauf, vorstrafen"
"- offen - ","Was ändert die SPD","was ändert die spd"
"- offen - ","Vermögenssteuer","vermögenssteuer"
"- offen - ","Wahlprogramm CDU soziale Gerechtigkeit","wahlprogramm cdu soziale gerechtigkeit"
"- offen - ","Wahlometer","wahlometer"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahl-o-Mat","wahl-o-mat"
"- offen - ","kandidaten","kandidaten"
"- offen - ","Parteiprogram,Lebenslauf des Kandidaten,persönliche Haltung des Kandidaten","parteiprogram,lebenslauf des kandidaten,persönliche haltung des kandidaten"
"- offen - ","Wahlprogramm (Partei XY)","wahlprogramm (partei xy)"
"- offen - ","Bearbook","bearbook"
"- offen - ","Bundestag Wahl fakten","bundestag wahl fakten"
"- offen - ","SPD Kandidaten Oder CDU portfolio","spd kandidaten oder cdu portfolio"
"- offen - ","wahlhilfe","wahlhilfe"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","Parteiprogramme","parteiprogramme"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Profil der Kanzlerkandidaten","profil der kanzlerkandidaten"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Zuwanderung, Wahlprogramme","zuwanderung, wahlprogramme"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","Die Thematik wofür die Parteien stehen. Welche Richtung sie einschlagen wollen und vergleichen wer genauso es plant und was eine Partei alleine machen könnte.","die thematik wofür die parteien stehen. welche richtung sie einschlagen wollen und vergleichen wer genauso es plant und was eine partei alleine machen könnte."
"- offen - ","Wahlomat; Haltung zu Corona Parteienvergleich; Allianz Pro Schiene Parteien Bundestagswahl; Verkerspolitik Ziele der Parteien","wahlomat; haltung zu corona parteienvergleich; allianz pro schiene parteien ; verkerspolitik ziele der parteien"
"- offen - ","Bundestagswahl, Parteiprogramm, allgemeine Infos Politiker Internet","parteiprogramm, allgemeine infos politiker internet"
"- offen - ","Was haben die Parteien die letzten 5 Jahre gemacht","was haben die parteien die letzten 5 jahre gemacht"
"- offen - ","Die Linke und Nato","die linke und nato"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Verteilungskampf","verteilungskampf"
"- offen - ","Bundestagswahl Programm","programm"
"- offen - ","Partei Programm","partei programm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Nach meinen Prioritäten, z. B. Gesundheitsreform, H4,","nach meinen prioritäten, z. b. gesundheitsreform, h4,"
"- offen - ","Wahlprogramme der einzelnen Parteien , wahl-o-mat","wahlprogramme der einzelnen parteien , wahl-o-mat"
"- offen - ","Kandidat","kandidat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlprogramm alle zusammengefasst","wahlprogramm alle zusammengefasst"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","lebenslauf von kandidaten","lebenslauf von kandidaten"
"- offen - ","Wahlthema der Parteien","wahlthema der parteien"
"- offen - ","Olaf Scholz, Sozialpläne der SPD.","olaf scholz, sozialpläne der spd."
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Stichworte: Wahlprogramme Bundestagswahl 21, Parteinenvergleich, Gezielt nach für mich wichtigen Politikfeldern (Z.B. Bildung, Wohnungspolitik oder sozial Politik)","stichworte: wahlprogramme  21, parteinenvergleich, gezielt nach für mich wichtigen politikfeldern (z.b. bildung, wohnungspolitik oder sozial politik)"
"- offen - ","Festlegungen zum Klimawandel","festlegungen zum klimawandel"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","(partei name) wahlprogramm","(partei name) wahlprogramm"
"- offen - ","Wahl-O-mat","wahl-o-mat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlprogramm der Partein","wahlprogramm der partein"
"- offen - ","AfD news","afd news"
"- offen - ","Baerbock Berufsausbildung","baerbock berufsausbildung"
"- offen - ","Themen der Partei CDU","themen der partei cdu"
"- offen - ","Parteien, jeweilige Vorschläge von bestimmten Kanditatin lesen,","parteien, jeweilige vorschläge von bestimmten kanditatin lesen,"
"- offen - ","Scholz SPD Lebenslauf","scholz spd lebenslauf"
"- offen - ","Wofür setzt sich Partei XY ein. Pro und Contra Punkte der Partei","wofür setzt sich partei xy ein. pro und contra punkte der partei"
"- offen - ","welche Partei welche Pläne hat","welche partei welche pläne hat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Isalmisierung","isalmisierung"
"- offen - ","Wahlprogramme der Parteien","wahlprogramme der parteien"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","cdu","cdu"
"- offen - ","Parteiprogramme","parteiprogramme"
"- offen - ","Mietensteigerung SPD","mietensteigerung spd"
"- offen - ","Wahlprogramm der „Parteiname“","wahlprogramm der „parteiname“"
"- offen - ","Wahlprogramm 21","wahlprogramm 21"
"- offen - ","Parteien in Dtld","parteien in dtld"
"- offen - ","kandiaten,","kandiaten,"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Klimaschutz, Verkehrswende","klimaschutz, verkehrswende"
"- offen - ","Bürgerversicherung Steuerfahndung Infos zu Kandidaten","bürgerversicherung steuerfahndung infos zu kandidaten"
"- offen - ","Parteiprogramm Bündnis 90/Die Grünen","parteiprogramm bündnis 90/die grünen"
"- offen - ","Wen kann man wählen","wen kann man wählen"
"- offen - ","Für was die Partei sich einsetzt","für was die partei sich einsetzt"
"- offen - ","Wer ist gut für deusxthlnd","wer ist gut für deusxthlnd"
"- offen - ","Faktencheck, Kanzlerkandidat, Wahlprogramm, wahlomat","faktencheck, kanzlerkandidat, wahlprogramm, wahlomat"
"- offen - ","Aktuelle Wahlprogramm Kurzfassung","aktuelle wahlprogramm kurzfassung"
"- offen - ","Wahlprognose","wahlprognose"
"- offen - ","Parteiprogramme, Kandidaten","parteiprogramme, kandidaten"
"- offen - ","Wahlprogramm CDU","wahlprogramm cdu"
"- offen - ","ghesundheit","ghesundheit"
"- offen - ","Subventionen Firmen Steuer","subventionen firmen steuer"
"- offen - ","Wahlprogramme Bundestagswahl","wahlprogramme"
"- offen - ","SPD+Klimawandel+CumEx","spd+klimawandel+cumex"
"- offen - ","Parteien aktuell Deutschland","parteien aktuell deutschland"
"- offen - ","politik","politik"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wal-o-mat","wal-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Walomat, Parteiprogramm der ......","walomat, parteiprogramm der ......"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Informationen über die Kandidaten","informationen über die kandidaten"
"- offen - ","Kandidaten","kandidaten"
"- offen - ","Rente","rente"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Ehrenmord, Einwanderung,","ehrenmord, einwanderung,"
"- offen - ","Wahl 2021 CDU","cdu"
"- offen - ","Vergleich Wahlprogramme","vergleich wahlprogramme"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Asyl Rechte für Deutsche","asyl rechte für deutsche"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Bundestagswahl 2021 Wahlprogramme","wahlprogramme"
"- offen - ","Altersarmut, Rente, innere Sicherheit,","altersarmut, rente, innere sicherheit,"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl 2021, Wahlprogramm Partei XY","wahlprogramm partei xy"
"- offen - ","Aktuelle politische Themen","aktuelle politische themen"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Es ist sehr wichtig, dass man die Wählt","es ist sehr wichtig, dass man die wählt"
"- offen - ","Klima u Gesundheit","klima u gesundheit"
"- offen - ","Grüne Wahlprogramm btw21","grüne wahlprogramm btw21"
"- offen - ","Wahlen 2021","wahlen 2021"
"- offen - ","Lebenslauf Scholz","lebenslauf scholz"
"- offen - ","Wahlthemen der Parteien","wahlthemen der parteien"
"- offen - ","Wahl-o-mat, Parteiprogramm Analyse,","wahl-o-mat, parteiprogramm analyse,"
"- offen - ","Wahlumfragen","wahlumfragen"
"- offen - ","Rente","rente"
"- offen - ","Rente CDU","rente cdu"
"- offen - ","SPD. Afghanistan. Grüne. Mindestlohn","spd. afghanistan. grüne. mindestlohn"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","AFD","afd"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlprogram SPD, Olaf Scholz,","wahlprogram spd, olaf scholz,"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Nach dem Wahlprogramm was eine Partei vor hat in Zukunft besser zu machen oder zu ändern.","nach dem wahlprogramm was eine partei vor hat in zukunft besser zu machen oder zu ändern."
"- offen - ","Zuwanderung begrenzen","zuwanderung begrenzen"
"- offen - ","Wahl O Mat","wahl o mat"
"- offen - ","Wahlpartei, YouTube etc","wahlpartei, youtube etc"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Söder CSU","söder csu"
"- offen - ","Wahlomat .","wahlomat ."
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","wahlprogramm grüne","wahlprogramm grüne"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Gesundheit","gesundheit"
"- offen - ","soziale Gerechtigkeit","soziale gerechtigkeit"
"- offen - ","Mieten, Steuern, Linke","mieten, steuern, linke"
"- offen - ","Personen,Artzte gegend","personen,artzte gegend"
"- offen - ","grüne wahlprogramm","grüne wahlprogramm"
"- offen - ","Infos über Parteienprogramm SPD, CSU,FDP","infos über parteienprogramm spd, csu,fdp"
"- offen - ","Z.B. ""Programm Grüne Mieten"" oder einfach ""Programm Arbeit SPD""","z.b. ""programm grüne mieten"" oder einfach ""programm arbeit spd"""
"- offen - ","FDP Wahlprogramm Digitalisierung","fdp wahlprogramm digitalisierung"
"- offen - ","Parteiprogramm, Wahlomat, Statista, Forsa","parteiprogramm, wahlomat, statista, forsa"
"- offen - ","Klimawandel, Energiewende, Elektroauto","klimawandel, energiewende, elektroauto"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Wahlomaat","wahlomaat"
"- offen - ","wahlprogramm ""partei""","wahlprogramm ""partei"""
"- offen - ","Was sind die neuen Corona Regeln","was sind die neuen corona regeln"
"- offen - ","Bundestagswahl 2021 Wahlprogramme der Parteien","wahlprogramme der parteien"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","spd","spd"
"- offen - ","Umweltminister","umweltminister"
"- offen - ","Wahlomat, Kriege, Frieden, Russland, China, Demos, Wasserstoff, ,,,","wahlomat, kriege, frieden, russland, china, demos, wasserstoff, ,,,"
"- offen - ","Parteiprogramm der SPD","parteiprogramm der spd"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wie steht FDP zur Grundrente","wie steht fdp zur grundrente"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","parteiprogramme","parteiprogramme"
"- offen - ","Wahlthemen","wahlthemen"
"- offen - ","tierwohl","tierwohl"
"- offen - ","Bündnis 90 die Grünen, Laschet","bündnis 90 die grünen, laschet"
"- offen - ","Steuersenkung","steuersenkung"
"- offen - ","Themenwahl zu politischen und Wirtschaftlichen Dingen.","themenwahl zu politischen und wirtschaftlichen dingen."
"- offen - ","spd wahlprogramm","spd wahlprogramm"
"- offen - ","Manuela Schwesig","manuela schwesig"
"- offen - ","Thema und Kandidat oder Partei","thema und kandidat oder partei"
"- offen - ","wahlomat","wahlomat"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Wahlprogramm der jeweiligen Partei für die ich interessiere","wahlprogramm der jeweiligen partei für die ich interessiere"
"- offen - ","Gesundheit","gesundheit"
"- offen - ","Klima","klima"
"- offen - ","Wahlprogramm Parteien","wahlprogramm parteien"
"- offen - ","Rente","rente"
"- offen - ","Thema.....Partei....","thema.....partei...."
"- offen - ","Parteien Programme BTW2021","parteien programme btw2021"
"- offen - ","Steuern - Parteiprogramme BT Wahl 2021; wenn ich steuern suche + ggf. Interviews mit Kandidaten auf YouTube o.ä.","steuern - parteiprogramme bt ; wenn ich steuern suche + ggf. interviews mit kandidaten auf youtube o.ä."
"- offen - ","Wahlprogramm [Partei einfügen]; Bundestag","wahlprogramm [partei einfügen]; bundestag"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","spd","spd"
"- offen - ","Parteien Klimaschutz","parteien klimaschutz"
"- offen - ","Grüne Klimaschutz Entlastung","grüne klimaschutz entlastung"
"- offen - ","zu Angaben zu denPersonen","zu angaben zu denpersonen"
"- offen - ","ich suche nach dem Wahlomat um mehr Informationen zu bekommen","ich suche nach dem wahlomat um mehr informationen zu bekommen"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Klima grüne wahlprogramm cdu fdp linke","klima grüne wahlprogramm cdu fdp linke"
"- offen - ","Nord Stream 2","nord stream 2"
"- offen - ","Scholz Meinung zu Corona","scholz meinung zu corona"
"- offen - ","Wahl-OMat","wahl-omat"
"- offen - ","Wahlprogramm der jeweiligen Partei","wahlprogramm der jeweiligen partei"
"- offen - ","Umfragewerte","umfragewerte"
"- offen - ","Integere Persönlichkeiten,(z.B. Peter ScholatourDemokratie- verstänis,youtube,.....","integere persönlichkeiten,(z.b. peter scholatourdemokratie- verstänis,youtube,....."
"- offen - ","Standpunkt (jeweilige Partei) zur Impfung","standpunkt (jeweilige partei) zur impfung"
"- offen - ","Grundsatzprogramme der in Frage kommenden Parteien","grundsatzprogramme der in frage kommenden parteien"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Olaf Scholz","olaf scholz"
"- offen - ","fdp programm","fdp programm"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Unterschiede der Parteien","unterschiede der parteien"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Steuer","steuer"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl/ Parteien","wahl/ parteien"
"- offen - ","Umweltpoltitk, Pflegepolitik,","umweltpoltitk, pflegepolitik,"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahl o mat","wahl o mat"
"- offen - ","Wahlomat, Parteiprogamme","wahlomat, parteiprogamme"
"- offen - ","Afd","afd"
"- offen - ","Bundestagswahl 2021 Parteiprogramme Vergleich","parteiprogramme vergleich"
"- offen - ","Kandidaten zur Bundestagswahl 2021","kandidaten zur"
"- offen - ","Wahlomat, Parteiprogramme, Bundestagswahl 2021, Kanzlerkandidaten","wahlomat, parteiprogramme,  kanzlerkandidaten"
"- offen - ","Klimawandel und eine Partei","klimawandel und eine partei"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Kandidat Wahlkreis Thema d. Frage","kandidat wahlkreis thema d. frage"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Rente","rente"
"- offen - ","AFD, Wahl O Mat FDP","afd, wahl o mat fdp"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","möchte über die cdu mehr wissen besonders um lasched","möchte über die cdu mehr wissen besonders um lasched"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Grüne, Scholz, Digitalisierungsstrategie, Lockdown","grüne, scholz, digitalisierungsstrategie, lockdown"
"- offen - ","Ausbildung,Doktorat,Korruption,Pharmaindustrie,Coronapolitik","ausbildung,doktorat,korruption,pharmaindustrie,coronapolitik"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wind energy alternatives","wind energy alternatives"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","die Themen der parteien","die themen der parteien"
"- offen - ","Politik","politik"
"- offen - ","Welche Partei steht für was","welche partei steht für was"
"- offen - ","Umweltschutz, Corona, einzelne Fragen, Wirtschaft, Grundeinkommen","umweltschutz, corona, einzelne fragen, wirtschaft, grundeinkommen"
"- offen - ","aktuelle Umfrageergebnisse","aktuelle umfrageergebnisse"
"- offen - ","Wahlomat, Parteiprogramme, SPD, CDU, Die Grünen, Linke","wahlomat, parteiprogramme, spd, cdu, die grünen, linke"
"- offen - ","NPD Deutschland, AfD Deutschland","npd deutschland, afd deutschland"
"- offen - ","cdu position corona","cdu position corona"
"- offen - ","SPD - Umweltprogramm - Themen","spd - umweltprogramm - themen"
"- offen - ","Wahl-O-Mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Die Partei die Person","die partei die person"
"- offen - ","Erderwärmung","erderwärmung"
"- offen - ","Wahlomat, Wikipedia, Wahlprogramme","wahlomat, wikipedia, wahlprogramme"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Marcus Soder","marcus soder"
"- offen - ","Bundestagswahl 2021 Deutschland","deutschland"
"- offen - ","CDU Wahlprogramm","cdu wahlprogramm"
"- offen - ","Wahlprogramm der Partei","wahlprogramm der partei"
"- offen - ","Parteien Vergleich","parteien vergleich"
"- offen - ","Wahlprogramm die parzei","wahlprogramm die parzei"
"- offen - ","parteivergleich","parteivergleich"
"- offen - ","Wahlen 2021","wahlen 2021"
"- offen - ","Gesundheit","gesundheit"
"- offen - ","Kapitalertragssteuer","kapitalertragssteuer"
"- offen - ","Migration","migration"
"- offen - ","Wahlprogramme","wahlprogramme"
"- offen - ","Informationen zum Triell, Wahlomat","informationen zum triell, wahlomat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Heilbronn","heilbronn"
"- offen - ","Bundestagswahl 2021 Bremen nord Ort","bremen nord ort"
"- offen - ","cdu, csu, spd, die grüne, fdp","cdu, csu, spd, die grüne, fdp"
"- offen - ","Wichtigen Themen von Parteien","wichtigen themen von parteien"
"- offen - ","Parteiprogramme Vergleich - Alternativen Wahlomat - Faktencheck","parteiprogramme vergleich - alternativen wahlomat - faktencheck"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Entlohnung, Allgemeingültigkeit Tarifvertrag, Rente, Sozialsystem","entlohnung, allgemeingültigkeit tarifvertrag, rente, sozialsystem"
"- offen - ","CDU","cdu"
"- offen - ","Wahl-omat","wahl-omat"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","wahl2021","wahl2021"
"- offen - ","Umweltpolitik FDP","umweltpolitik fdp"
"- offen - ","Klimawandel.","klimawandel."
"- offen - ","Kanidaten, Themen, Koalisation,Shymphatie ,fundierte Konzepte","kanidaten, themen, koalisation,shymphatie ,fundierte konzepte"
"- offen - ","Bundestagswahl, Wahl 2021, Kanzlerkandidaten, Die Grünen, CDU, SPD,","kanzlerkandidaten, die grünen, cdu, spd,"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","den namen eines kanditaten z.b. angela merkel","den namen eines kanditaten z.b. angela merkel"
"- offen - ","Ich surfe immer DIREKT die Webseite an z.B www FDP de","ich surfe immer direkt die webseite an z.b www fdp de"
"- offen - ","Annalena Baerbock","annalena baerbock"
"- offen - ","Schauen nach der AFD wat die so ändern wollen wat die anderen nich auf die reihe kriegen..schade dat die NPD nich mehr gibt","schauen nach der afd wat die so ändern wollen wat die anderen nich auf die reihe kriegen..schade dat die npd nich mehr gibt"
"- offen - ","Kommt auf die Information an, die ich suche","kommt auf die information an, die ich suche"
"- offen - ","Kanzlerkandidat","kanzlerkandidat"
"- offen - ","Wahl- o-mat","wahl- o-mat"
"- offen - ","wahlomat","wahlomat"
"- offen - ","Wahlprogramm Parteien Bundestagswahl","wahlprogramm parteien"
"- offen - ","Wahl-o-mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Welche Partei wählen 2021","welche partei wählen 2021"
"- offen - ","Wahlprogramm Partei Coronamaßnahmen Ende","wahlprogramm partei coronamaßnahmen ende"
"- offen - ","Wahlkampf Spenden nach Partei","wahlkampf spenden nach partei"
"- offen - ","Parteiname, Politthema, Wahlen","parteiname, politthema, wahlen"
"- offen - ","Scholz/CumEx, Scholz /Warburg, Scholz/Wirecard, BGH/CumEx, Wahlprogramm CDU, Wahlprogramm Grüne, Wahlprogramm FDP, Wahlprogramm SPD, Wahlprogramm AFD","scholz/cumex, scholz /warburg, scholz/wirecard, bgh/cumex, wahlprogramm cdu, wahlprogramm grüne, wahlprogramm fdp, wahlprogramm spd, wahlprogramm afd"
"- offen - ","Wahlprogramm Parteien Bundestag","wahlprogramm parteien bundestag"
"- offen - ","Politik","politik"
"- offen - ","wahl-o-mat","wahl-o-mat"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","wähl o mat","wähl o mat"
"- offen - ","Welcher Partei ist innere Sicherheit wichtig","welcher partei ist innere sicherheit wichtig"
"- offen - ","Politik","politik"
"- offen - ","wal-o-mat","wal-o-mat"
"- offen - ","Corona, Wahl, Wahlprogramm","corona, wahl, wahlprogramm"
"- offen - ","ich würde direkt das Parteiprogramm suchen, die Website der Partei","ich würde direkt das parteiprogramm suchen, die website der partei"
"- offen - ","Wahlomat, jeweilige Partei","wahlomat, jeweilige partei"
"- offen - ","vergleichendes Wahlprogramm der Parteien","vergleichendes wahlprogramm der parteien"
"- offen - ","Tierschutz, Klimaschutz, Schutz der Weltmeere,","tierschutz, klimaschutz, schutz der weltmeere,"
"- offen - ","wahlen","wahlen"
"- offen - ","Klimawandel","klimawandel"
"- offen - ","Vergelich der Politikziele der einzelnen Parteien","vergelich der politikziele der einzelnen parteien"
"- offen - ","Umfragen Ergebnisse, Hintergrundberichte in den Medien","umfragen ergebnisse, hintergrundberichte in den medien"
"- offen - ","Ausländer problem","ausländer problem"
"- offen - ","Wäre nicht relevant für mich aber Walomat kämme infrage","wäre nicht relevant für mich aber walomat kämme infrage"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Wie denken die Parteien über Migration","wie denken die parteien über migration"
"- offen - ","Wahlprogramm Rente, Aktien, Kapitalbildung, Klimawandel","wahlprogramm rente, aktien, kapitalbildung, klimawandel"
"- offen - ","Wal-o-mat, Parteiprogramme überblick","wal-o-mat, parteiprogramme überblick"
"- offen - ","PARTEIEN WIE STEHEN SIE ZUR RENTE","parteien wie stehen sie zur rente"
"- offen - ","Wahlomat, Anna Lena Baerbok, Coronamaßnahmen, Umfragewerte","wahlomat, anna lena baerbok, coronamaßnahmen, umfragewerte"
"- offen - ","Wahlomat","wahlomat"
