"thema","query","query_mod"
"- offen - ","Kanzlerkandidaten, Umweltprobleme","kanzlerkandidaten, umweltprobleme"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Parteiprogramm, Stellungnahme zu bestimmten Themen, Kandidaten, Lebenslauf von ...","parteiprogramm, stellungnahme zu bestimmten themen, kandidaten, lebenslauf von ..."
"- offen - ","Themen der einzelnen Parteien, sowie der Kandidaten und das zukünftige mögliche Regierungsteam","themen der einzelnen parteien, sowie der kandidaten und das zukünftige mögliche regierungsteam"
"- offen - ","Rentenpolitik Die Grünen","rentenpolitik die grünen"
"- offen - ","wahl o mat","wahl o mat"
"- offen - ","Kandidaten","kandidaten"
"- offen - ","Parteiprogramm und die Partei über die ich mich informieren möchte","parteiprogramm und die partei über die ich mich informieren möchte"
"- offen - ","ARD; ZDF, Interview der Kandidaten, Vergleichen der Parteiprogramme","ard; zdf, interview der kandidaten, vergleichen der parteiprogramme"
"- offen - ","Wahl-O-Mat, Parteiprogramme","wahl-o-mat, parteiprogramme"
"- offen - ","Olaf Scholz im Cum Ex Skandal","olaf scholz im cum ex skandal"
"- offen - ","Wahlprogramm","wahlprogramm"
"- offen - ","Wahlprogramm der Grünen, Kommentare","wahlprogramm der grünen, kommentare"
"- offen - ","Wahlomat","wahlomat"
"- offen - ","Parteiprogramm","parteiprogramm"
"- offen - ","Wahl 2021, Kandidaten, Ansichten, Migration, Wirtschaft","kandidaten, ansichten, migration, wirtschaft"
"- offen - ","Rente, Innere Sicherheit, Kriminalität, Impfungen-Nebenwirkungen","rente, innere sicherheit, kriminalität, impfungen-nebenwirkungen"
"- offen - ","Umweltschützer","umweltschützer"
"- offen - ","Corona","corona"
"- offen - ","welche Partei ist für klimaschutz","welche partei ist für klimaschutz"
"- offen - ","Baerbock + Steuerhinterziehung Özdemir Bonusmeilenaffäre Söder + uneheliche Tochter Merkel+ Doktorarbeit","baerbock + steuerhinterziehung özdemir bonusmeilenaffäre söder + uneheliche tochter merkel+ doktorarbeit"
"- offen - ","Politik","politik"
"- offen - ","Krankheit","krankheit"
"- offen - ","Über Google suchen nach den Ministerien, oder Statistiken, Reden aus dem Bundestag, Gesetze, oder Vorlagen suchen. Immer die Hintergründe suchen, wer profitiert wovon!","über google suchen nach den ministerien, oder statistiken, reden aus dem bundestag, gesetze, oder vorlagen suchen. immer die hintergründe suchen, wer profitiert wovon!"
"- offen - ","SPD Wahlprogramm","spd wahlprogramm"
"- offen - ","Zweitstimme Saarland, Parteiprogramm FDP, Coronahilfe, Afganistan, Mindestlohn, Rentenalter","zweitstimme saarland, parteiprogramm fdp, coronahilfe, afganistan, mindestlohn, rentenalter"
"- offen - ","Programm einer Partei","programm einer partei"
"- offen - ","wahlprogramm","wahlprogramm"
"- offen - ","Parteiprogramm Vergleich","parteiprogramm vergleich"
"- offen - ","Wahlprogramme der Parteien","wahlprogramme der parteien"
